customId	sourceMembers	selectedBehavior	requiredEffectsAndFolds	assets
CherryHelper/AssistRect	AssistRectangle.ctor/Render	Noncolliding authored rectangle; translucent inset fill and dashed border.	Typed dimensions/color; no selected dynamic lookup.	Primitive drawing.
CherryHelper/ItemCrystal	ItemCrystal; ItemCrystalCollider	Holdable crystal, spring/cassette/player interaction, throw/drop/impact and Summit_Confetti destruction.	Typed Holdable integration and tracked component; preserve original sprite override and callbacks.	SJ idle00-17, fill00, crack00; vanilla confetti/audio.
CherryHelper/ItemCrystalPedestal	ItemCrystalPedestal.OnCollide/Routine	Forced release, repeated collision callbacks, 0.4-second CubeInOut attraction/fill and crystal destruction.	Do not deduplicate source callbacks; tracked custom collider and actual crystal companion.	SJ crabPedestal00 and crystal sprite bank.
pandorasBox/coloredWater	ColoredWater; Water; WaterInteraction	Swimming, surfaces, colored rendering/particles and source visibility.	Typed private/base Water state; ordinary WaterInteraction and tracker alias retained.	Vanilla water surfaces/particles/audio.
pandorasBox/coloredWaterfall	ColoredWaterfall.Awake/Update/Render	Downward Water/solid scan, shallow/deep sound selection, splash/ripples and water surface rendering.	Preserve source scan and audio-selection order; actual blocking-solid predicate.	Vanilla waterfall audio and particles.
pandorasBox/coloredBigWaterfall	ColoredBigWaterfall.ctor/Awake; BigWaterfall	Inherited waterfall construction/rendering with authored BG, size and color.	Typed color replacement; preserve original omission of base Awake.	Vanilla waterfall presentation.
pandorasBox/entityActivator	EntityActivator.Update/SetActive	Camera-threshold changes, end-of-frame activation, three-viewport region and entity/component state toggles.	Typed exact-type target list including nested vanilla and Xaphan child platforms; no subclass assignability substitution.	No custom asset.
FancyTileEntities/FancySolidTiles	FancySolidTiles; Autotiler.GenerateOverlay/GenerateTileMap	Authored tileData including final empty row; seeded blending, collision, light occlusion, interceptor and animated overlays.	Typed private Autotiler state and exact tile algorithm; room-origin and adjacent-solid context retained.	SJ E tiles, grass animation and selected foreground bank.
BrokemiaHelper/caveWall	CaveWall.Added/Awake/Update; TalkComponentUI	Groups, temporary/restored solid map, overlay generation, player/dead-body fade, transition listener and displacement blocking.	Typed talk-UI/dead-body hooks; unrelated MoveBlockBarrier reflection remains excluded.	Selected percent tile bank and vanilla overlay renderer.
HonlyHelper/PettableCat	PettableCat.ctor/Talk/Routine	NPC approach/talk, cat/petter animation, temporary player/hair hiding, sound, cancellation and session flag.	Typed player/hair restoration and ordinary coroutine lifecycle.	Honly cat frames/sprite bank and event:/HonlyHelper/catsfx.
HonlyHelper/CameraTargetCrossfadeTrigger	CameraTargetCrossfadeTrigger.OnStay/OnLeave	Two anchors relative to half viewport, position/strength interpolation, axis flags and conditional leave reset.	Typed player trigger-list access replaces private lookup.	No custom asset.
VivHelper/CustomHangingLamp	CustomHangingLamp.ctor/Update/Render	Base/chain/lamp images, collider, bloom/light, player-velocity interaction, damped rotation and sound.	Selected absent suffix and white color fold broader Viv utilities.	Three selected lamp PNGs; vanilla lantern audio.
VivHelper/CustomSpinner	VivCustomSpinner; VivCustomCrystalDebris	Compound collider, culling, proximity collision, image variants, connectors/fillers/borders and player/holdable collision.	White type, unit scales, no attachment/dash-shatter/custom debris; preserve texture and connector ID order.	Exact white foreground/background PNGs and vanilla debris.
XaphanHelper/Slope	Slope; PlayerPlatform; FakePlayerPlatform; XaphanModule	Stepped collision, child platforms/occluders, vertical movement and selected sliding pose.	Typed Player/Actor/Solid hooks and exact actor types; remote-drone/Metroid/speed branches excluded by reviewed producer/flag/profile absence.	Texture lookup remains required with noRender=true; selected invisible tile and sprite-animation extensions.
FrostHelper/CustomFireBarrier	CustomFireBarrier; CustomLavaRect; CameraCullHelper	Lethal collider/lava component, inset solid, transition update, waves/bubbles/vertices/culling and opaque target rendering.	isIce=false, ignoreCoreMode=true, silent=true; typed geometry/buffer access and unload cleanup.	particles/bubble and danger/lava/bubble_a sequence.
FrostHelper/CustomFlutterBird	CustomFlutterBird.CustomCreate/GetFlyAwaySfx; FlutterBird.FlyAway	Second RNG color choice after vanilla construction, ordinary hop/tweet/flyaway and persistence at flyaway sound evaluation.	Default directory/audio and dontFlyAway=false; typed Persistent-tag insertion replaces selected hook effect.	scenery/flutterbird and vanilla bird audio.
FrostHelper/DecalContainer	DecalContainerMaker.Awake; DecalContainerRenderer; ParallaxDecalRenderer; DecalInfo	Source-order transfer into 64-tile chunks per depth, maker removal, successor animation/culling/parallax/lights/static movers.	Exact generated decal registry, original Decal.Added then typed handlers, tracked successors and pause behavior; no general registry scan.	Selected decal ledger with 58 rules, 118 names and 298 frames.
FrostHelper/EntityMover	EntityMover.Awake/Update; EntityFilter; EaseHelper; EntityMoveHelper	Caches targets in scene order; looping tween moves cached starts to authored node with source pauses and manual tween update.	Exact Tutorial target, mustCollide=false, absolute mode, Linear, zero duration and empty end sound; no easing expression engine.	Existing tutorial companion assets.
FrostHelper/IceSpinner	CustomSpinner; spinner controller/border/connector/source/collider/debris helpers	Selected stationary orange/green spinner RNG, culling/collision intervals, connectors/outlines, depth and removal.	Typed shatter hook before original and Summit-return hook at reviewed location; preserve source texture metadata and controller quirks.	Frost icecrystal fg00-03/bg and shard; exact packing/offsets retained.
FrostHelper/WireLamps	WireLamps.ctor/Render; CameraCullHelper.IsVisible	Position-seeded RNG, white lights, authored counts, wind-wobbling quadratic cable, 16 segments and component positioning/render.	attached=false excludes raycast; cull before light updates; exact RGB parsing and scene guards.	SJ chimes_a animation.
FrostHelper/OnSpawnActivator	OnSpawnActivator; BaseActivator; PostAwakeHook	Caches node-overlapping triggers in tracked order; conditional leave then enter/stay and one-time removal.	All/zero-delay/once ResetVariants targets; whole EntityList.UpdateLists wrapper including early return supplies post-Awake dispatch.	No custom asset.
FemtoHelper/CustomParallaxBigWaterfall	CustomParallaxBigWaterfall.Added/Update/RenderDisplacement/Render	Layer defaults, random lines, transition fade, parallax, clipping and displacement.	BG silent/no displacement; FG depth -49900, waterfall_big_main and Vanilla displacement; retain straight FG versus wavy BG rendering.	Vanilla waterfall sound and primitive geometry.
FemtoHelper/ParticleEmitter	ParticleEmitter.ctor/Update	Selected chooser/colors/late fade/lifetime/scale/speed/friction/acceleration/spin and probabilistic ParticlesBG emission.	Empty flag/no attachment; source BloomAlpha/BloomRadius casing retains defaults; 10 percent per0.2s remains sparse.	particles/bubble.
FemtoHelper/WindPetals	WindPetals loader/ctor/Update/Render	Randomized particles, wind drift, spin/blur, wrapping/parallax and original visibility fade.	Both red falling and blue rising profiles guarded; standard flags and SJ mask integration retained; physical fixture samples red profile.	particles/petal and particles/bubble; rosegarden/aquatic mask tags.
FlaglinesAndSuch/customDreamStars	Class1 loader; customDreamStars	50 white circles, normalized direction, random speed/size, camera scroll and wrapping.	Exact primitive backdrop and soap mask integration; preserve its own visibility behavior without invented FadeAlpha multiplier.	Primitive drawing.
FlaglinesAndSuch/customGodrays	Class1 loader; CustomGodrays; Ray.Reset	Six randomized rays, dimensions/lifetime, triangles/fade and non-spritebatch rendering.	Exact lowercase duration fallback yields4/8; standard forestpathOverlay visibility.	Primitive geometry.
MaxHelpingHand/GroupedTriggerSpikesUp	GroupedTriggerSpikes Up branch	SafeGroundBlocker, LedgeBlocker, player/static-mover callbacks, texture resolution, group delay/extension/collision/render.	Reviewed prior-30 repair; exact Up/outline profiles exclude other orientations and tentacles.	danger/spikes/outline_up and original tendril sounds.
MaxHelpingHand/CustomTutorialWithNoBird	CustomTutorialWithNoBird; CustomBirdTutorial; BirdTutorialGui	Actor ancestry/tracking/update, light/GUI, exact8x2 IsRiding, show/hide coroutine and SceneEnd time reset.	Typed directional GUI/private fields; no-bird/default-font/Right/repeatable profiles, with real Actor riding lifecycle.	Original SJ tutorial dialog and accepted GUI/button glyphs.
MaxHelpingHand/MoreCustomNPC	MoreCustomNPC; CustomNPC	Node-derived TalkComponent range, DoNotTalk, coroutine, normal/skip cleanup and repeatable counter reset.	Empty sprite, no approach/autoskip, default font and no completion/flag writes; typed dialogue pipeline.	Original SJ credits dialog; accepted animated portrait and ornate textbox.
MaxHelpingHand/CameraCatchupSpeedTrigger	Load/modPlayerOrigUpdate/replaceCatchupSpeed/OnEnter	Camera interpolation divisor is replaced at the original Player.Update site.	Typed build-time call replaces selected reflection/ILHook; revertOnLeave=true avoids persistent-session write branch.	No custom asset.
MaxHelpingHand/FlagToggleCameraOffsetTrigger	FlagToggleCameraOffsetTrigger.Load; FlagToggleComponent	Actual CameraOffsetTrigger and scaled offsets; component observes flag during EntityAdded and Update.	Typed creator/Attach; Visible and Collidable toggle while Active remains enabled.	No custom asset.
MaxHelpingHand/FlagToggleCameraTargetTrigger	FlagToggleCameraTargetTrigger.Load; FlagToggleComponent	Actual relative-node target trigger, anchor interpolation and OnStay/OnLeave behavior.	Typed creator/Attach; y-only, NoEffect, empty deletion flag; component updates while disabled.	No custom asset.
MaxHelpingHand/FlagToggleSmoothCameraOffsetTrigger	FlagToggleSmoothCameraOffsetTrigger.Load; SmoothCameraOffsetTrigger	Scaled offsets, positional OnStay interpolation and repeatable OnLeave behavior.	Typed creator/component plus Everest smooth trigger; selected LeftToRight.	No custom asset.
MaxHelpingHand/SidewaysJumpThru	SidewaysJumpThru; selected actor/player/scene IL sites	StaticMover/rendering and actor/player wall/climb/feather collision behavior.	Twelve target methods and25 exact sites frozen through accepted IL worker after existing pinned transforms; wood, both directions, no push, seekers blocked.	Wood jumpthru tiles and vanilla movement audio.
MaxHelpingHand/SetFlagOnSpawnController	SetFlagOnSpawnController.ctor/Added	Constructor sets flags through Level or LevelLoader.Level; Added removes controller.	onlyOnRespawn=false and absent conditional flag exclude original respawn-hook state.	No custom asset.
MaxHelpingHand/FlagExitBlock	FlagExitBlock.ctor/Awake/Update; MonoModLinkTo	Removes inherited transition listener; intentional Solid.Update, flag inversion, overlap protection and alpha/cutout sync.	Typed ExitBlock fields; tile7, gradual transition and no close sound.	Selected tile7 and vanilla cutout renderer.
MaxHelpingHand/HeatWaveNoColorGrade	HeatWaveNoColorGrade.Update	Inherited particles/heat lifecycle; restores four color-grade fields around Update and resets distortion at zero heat.	Typed private heat/fade and level fields; all selected profiles disable grade control.	Vanilla heatwave particles/distortion.
MaxHelpingHand/ColorGradeFadeTrigger	ColorGradeFadeTrigger.OnStay; Level.Update hook	Positional grade interpolation remains active without being overwritten by Level update.	Typed color-grade state and exact trigger-presence patch; reflection-fall alternative excluded.	oldsite/none color-grade LUTs.
MaxHelpingHand/CameraOffsetBorder	CameraOffsetBorder.Awake/Update; camera-target/transition hooks	Nine spatial predicates, initial update, transition disabling and target rectangle exclusion.	Typed host hooks; empty flag folds optional gating.	No custom asset.
